cgpa,python,communication,projects,internships,interest,career
7.46,4,2,7,2,AI,AI Engineer
9.08,10,8,6,4,Web,Web Developer
6.6,10,10,4,4,AI,AI Engineer
9.18,2,7,6,2,Cloud,Cloud Engineer
8.45,5,8,1,3,Web,Web Developer
9.37,3,5,10,2,Cloud,Cloud Engineer
5.8,7,8,0,5,Data Science,Data Scientist
5.69,2,1,6,0,AI,AI Engineer
7.31,10,2,7,1,Web,Web Developer
9.58,7,10,4,2,Web,Web Developer
5.57,7,6,10,5,Web,Web Developer
8.74,4,2,8,4,Cyber,Cyber Security
5.87,1,4,2,5,Data Science,Data Scientist
7.72,2,3,7,5,AI,AI Engineer
8.37,5,3,0,1,Data Science,Data Scientist
7.97,10,7,1,3,Cyber,Cyber Security
9.08,6,2,1,2,Cloud,Cloud Engineer
5.67,6,8,9,1,Cloud,Cloud Engineer
8.7,9,1,4,3,AI,AI Engineer
7.12,5,5,3,1,AI,AI Engineer
9.03,5,3,10,0,Cyber,Cyber Security
8.74,6,10,5,2,AI,AI Engineer
6.35,2,2,8,3,Web,Web Developer
8.15,2,6,0,2,Web,Web Developer
6.71,1,2,4,4,Data Science,Data Scientist
6.52,9,5,8,4,Web,Web Developer
8.57,3,3,6,5,Web,Web Developer
7.75,2,2,8,5,Cyber,Cyber Security
6.35,10,7,7,2,Cyber,Cyber Security
6.19,8,3,5,2,Web,Web Developer
6.1,4,9,3,0,Web,Web Developer
7.02,6,1,10,2,AI,AI Engineer
7.72,8,1,4,5,Data Science,Data Scientist
9.16,10,3,7,2,Web,Web Developer
6.99,2,8,2,5,AI,AI Engineer
9.59,10,5,10,1,Cloud,Cloud Engineer
6.2,6,8,1,3,Data Science,Data Scientist
8.57,4,2,8,3,AI,AI Engineer
9.73,7,3,10,5,Data Science,Data Scientist
7.26,9,4,1,0,Cloud,Cloud Engineer
6.37,10,9,2,0,Cloud,Cloud Engineer
8.6,4,3,4,5,Web,Web Developer
5.65,7,9,2,2,Data Science,Data Scientist
5.85,8,4,7,0,Cyber,Cyber Security
7.73,5,8,1,1,Data Science,Data Scientist
6.55,10,8,1,5,Data Science,Data Scientist
9.04,1,6,6,4,Web,Web Developer
7.33,10,2,0,4,AI,AI Engineer
8.94,9,6,9,4,Cyber,Cyber Security
6.83,10,10,10,0,Cyber,Cyber Security
5.97,1,10,3,2,Web,Web Developer
8.52,10,4,7,4,Web,Web Developer
8.0,1,7,5,5,Web,Web Developer
5.66,5,8,2,4,Data Science,Data Scientist
6.67,4,2,1,5,Cyber,Cyber Security
8.57,4,6,7,1,Cyber,Cyber Security
6.32,3,5,10,5,Data Science,Data Scientist
9.77,7,2,6,5,Data Science,Data Scientist
6.86,2,5,8,4,Data Science,Data Scientist
7.76,10,8,3,3,Data Science,Data Scientist
9.7,8,1,3,1,AI,AI Engineer
9.07,3,6,0,3,Data Science,Data Scientist
6.85,5,7,6,3,Web,Web Developer
8.35,6,5,5,0,Cloud,Cloud Engineer
5.77,6,6,10,3,Cloud,Cloud Engineer
7.96,9,10,4,0,AI,AI Engineer
6.95,7,10,1,2,Cyber,Cyber Security
8.11,1,8,6,4,AI,AI Engineer
6.09,3,9,9,2,AI,AI Engineer
8.09,8,4,10,1,AI,AI Engineer
6.66,10,3,1,4,Data Science,Data Scientist
7.65,7,6,10,2,Cyber,Cyber Security
7.92,5,1,9,3,AI,AI Engineer
7.68,2,8,8,0,Cyber,Cyber Security
6.41,1,7,7,3,Web,Web Developer
8.85,6,5,3,0,Cyber,Cyber Security
5.77,5,8,2,3,Cloud,Cloud Engineer
9.27,6,10,0,2,Cloud,Cloud Engineer
7.74,5,2,2,4,Data Science,Data Scientist
5.83,6,9,10,5,Web,Web Developer
9.17,7,6,10,1,Cloud,Cloud Engineer
5.92,10,9,6,0,AI,AI Engineer
7.81,8,4,6,2,Cloud,Cloud Engineer
5.56,9,10,7,5,Cloud,Cloud Engineer
5.73,5,8,4,5,Data Science,Data Scientist
6.75,1,4,10,2,Web,Web Developer
5.9,9,10,2,2,Cloud,Cloud Engineer
6.44,4,3,9,1,Data Science,Data Scientist
9.96,5,4,0,1,Cloud,Cloud Engineer
8.01,4,2,4,5,AI,AI Engineer
8.81,5,6,9,0,Cyber,Cyber Security
7.16,6,5,10,4,Cyber,Cyber Security
8.87,10,7,4,2,Cyber,Cyber Security
9.2,9,9,6,1,Cyber,Cyber Security
7.44,4,6,6,4,Cyber,Cyber Security
6.77,8,10,3,1,Web,Web Developer
6.17,1,9,3,0,Cloud,Cloud Engineer
7.93,2,7,10,4,Data Science,Data Scientist
6.93,5,9,4,1,Cloud,Cloud Engineer
8.1,3,2,7,0,Cloud,Cloud Engineer
5.84,7,6,1,1,AI,AI Engineer
6.06,2,4,1,0,Cloud,Cloud Engineer
9.86,5,2,9,3,Cyber,Cyber Security
9.95,10,5,5,5,Cloud,Cloud Engineer
6.38,6,8,8,0,Cloud,Cloud Engineer
5.68,4,1,2,5,Data Science,Data Scientist
5.88,10,10,6,3,Cyber,Cyber Security
9.49,9,10,1,1,Web,Web Developer
8.75,7,2,6,0,Cloud,Cloud Engineer
8.99,5,4,5,0,Cyber,Cyber Security
5.86,2,6,1,0,Cyber,Cyber Security
6.24,2,4,1,5,Cloud,Cloud Engineer
7.32,7,9,6,1,Web,Web Developer
8.02,4,10,10,2,Web,Web Developer
6.47,4,6,6,5,Cyber,Cyber Security
7.83,2,1,4,2,Web,Web Developer
5.99,2,10,3,3,AI,AI Engineer
6.63,6,10,8,1,Data Science,Data Scientist
8.79,3,7,2,3,Cloud,Cloud Engineer
7.26,6,8,0,5,Data Science,Data Scientist
6.98,2,2,5,3,AI,AI Engineer
7.93,7,4,7,3,Cyber,Cyber Security
7.28,2,10,1,0,AI,AI Engineer
9.32,5,7,2,5,Web,Web Developer
8.25,10,2,1,2,Web,Web Developer
6.42,5,9,4,4,Web,Web Developer
5.86,4,2,4,0,Cyber,Cyber Security
9.96,8,6,1,2,Data Science,Data Scientist
7.68,3,10,6,5,Web,Web Developer
6.3,6,1,2,5,Cloud,Cloud Engineer
7.62,1,9,10,4,Web,Web Developer
7.23,2,10,5,3,AI,AI Engineer
7.68,2,7,3,1,Cyber,Cyber Security
8.43,9,7,7,5,Cloud,Cloud Engineer
5.64,3,6,4,0,Cloud,Cloud Engineer
7.0,9,9,3,5,AI,AI Engineer
8.03,3,3,7,1,Web,Web Developer
7.95,6,1,1,0,Data Science,Data Scientist
8.99,5,5,5,3,Web,Web Developer
7.89,10,5,7,3,Data Science,Data Scientist
9.01,7,10,9,0,Data Science,Data Scientist
9.56,6,8,10,0,Cloud,Cloud Engineer
8.84,1,5,8,4,Cyber,Cyber Security
6.39,5,6,7,1,Cloud,Cloud Engineer
6.56,10,7,5,0,AI,AI Engineer
8.46,5,7,4,1,Cloud,Cloud Engineer
7.93,9,5,3,1,Cyber,Cyber Security
5.84,8,7,0,5,Cyber,Cyber Security
6.66,8,9,10,1,Data Science,Data Scientist
5.53,7,4,3,0,AI,AI Engineer
9.63,1,2,9,1,Data Science,Data Scientist
8.91,3,9,2,1,Cloud,Cloud Engineer
8.79,10,6,10,1,Cloud,Cloud Engineer
5.72,7,6,2,1,AI,AI Engineer
6.61,1,6,6,2,AI,AI Engineer
8.57,6,1,6,1,Web,Web Developer
5.57,1,4,5,2,Data Science,Data Scientist
8.64,1,10,10,1,Web,Web Developer
7.03,1,4,8,4,Data Science,Data Scientist
9.05,4,8,6,2,Web,Web Developer
9.05,9,5,9,5,Data Science,Data Scientist
8.62,7,2,2,0,AI,AI Engineer
5.76,8,1,2,2,Cyber,Cyber Security
9.96,1,3,3,2,Data Science,Data Scientist
5.73,7,10,4,4,AI,AI Engineer
8.62,8,9,9,0,Cloud,Cloud Engineer
5.71,3,5,0,0,Cloud,Cloud Engineer
7.48,3,8,5,1,Data Science,Data Scientist
7.07,10,2,3,2,Web,Web Developer
9.76,7,7,4,2,Cloud,Cloud Engineer
7.51,8,7,10,2,Data Science,Data Scientist
7.57,2,7,2,5,Data Science,Data Scientist
6.45,9,6,9,5,AI,AI Engineer
8.29,3,5,7,1,Data Science,Data Scientist
5.78,6,5,6,4,Cyber,Cyber Security
5.66,1,2,1,0,Web,Web Developer
5.93,3,7,7,2,Cyber,Cyber Security
6.64,4,8,10,5,Cloud,Cloud Engineer
8.28,8,5,7,5,AI,AI Engineer
8.64,7,3,10,2,Data Science,Data Scientist
5.52,7,10,0,0,Cloud,Cloud Engineer
8.78,8,2,1,0,Data Science,Data Scientist
9.94,5,9,5,5,Data Science,Data Scientist
7.57,5,5,7,2,Data Science,Data Scientist
9.34,10,6,8,2,AI,AI Engineer
5.83,7,7,10,1,Cloud,Cloud Engineer
6.85,7,1,1,3,Web,Web Developer
7.88,9,6,6,4,Cloud,Cloud Engineer
8.69,8,3,7,2,Cloud,Cloud Engineer
8.57,10,7,4,1,Cloud,Cloud Engineer
7.59,4,9,3,1,AI,AI Engineer
5.72,9,3,0,1,AI,AI Engineer
7.61,3,8,8,2,Cloud,Cloud Engineer
5.86,10,9,10,1,Cloud,Cloud Engineer
6.56,4,8,9,4,Web,Web Developer
8.64,10,8,5,2,Data Science,Data Scientist
6.93,4,5,3,1,Cloud,Cloud Engineer
8.04,4,1,7,3,Cyber,Cyber Security
5.54,5,10,5,0,Data Science,Data Scientist
7.17,9,9,9,0,Cloud,Cloud Engineer
8.52,1,6,4,0,Cyber,Cyber Security
9.88,8,5,5,1,Cyber,Cyber Security
7.09,8,10,6,4,Data Science,Data Scientist
6.82,8,1,2,5,AI,AI Engineer
5.85,8,6,0,0,AI,AI Engineer
6.85,2,8,1,1,Cloud,Cloud Engineer
8.88,1,7,6,0,Cyber,Cyber Security
8.39,9,2,3,5,Cloud,Cloud Engineer
7.05,5,2,3,0,Cloud,Cloud Engineer
5.93,7,1,6,2,AI,AI Engineer
6.56,2,2,2,5,Data Science,Data Scientist
6.24,5,8,0,5,Cloud,Cloud Engineer
9.57,4,5,3,4,AI,AI Engineer
7.89,4,4,0,5,Cloud,Cloud Engineer
7.81,8,6,2,3,AI,AI Engineer
9.96,3,3,8,5,AI,AI Engineer
9.69,7,7,5,3,Cyber,Cyber Security
8.3,7,8,3,2,AI,AI Engineer
9.33,9,8,10,3,Web,Web Developer
9.42,10,8,3,4,Data Science,Data Scientist
7.34,7,5,3,5,Data Science,Data Scientist
6.73,8,2,9,4,AI,AI Engineer
7.0,3,1,6,0,AI,AI Engineer
6.83,9,10,0,4,Data Science,Data Scientist
7.68,10,9,3,2,Data Science,Data Scientist
5.88,5,6,7,0,Cyber,Cyber Security
7.95,6,7,4,3,Web,Web Developer
7.94,4,2,6,5,Data Science,Data Scientist
8.5,1,9,0,1,Cyber,Cyber Security
6.51,6,9,7,0,Cyber,Cyber Security
9.11,6,9,4,4,Cloud,Cloud Engineer
9.52,1,1,3,5,Web,Web Developer
7.04,7,9,8,5,Cyber,Cyber Security
7.94,9,7,4,4,Cyber,Cyber Security
5.53,3,3,0,1,Web,Web Developer
7.84,7,3,8,0,Cyber,Cyber Security
7.63,9,2,3,2,AI,AI Engineer
6.24,2,7,8,5,Web,Web Developer
8.45,6,7,4,1,Data Science,Data Scientist
6.3,2,4,3,0,Cyber,Cyber Security
5.76,9,4,5,4,Data Science,Data Scientist
8.42,3,3,3,2,Cyber,Cyber Security
6.42,2,7,1,3,Cloud,Cloud Engineer
7.83,1,4,2,2,Data Science,Data Scientist
7.98,8,4,4,3,Cyber,Cyber Security
7.74,1,9,3,4,Cloud,Cloud Engineer
6.8,3,8,8,4,Cyber,Cyber Security
6.56,5,8,9,3,Cloud,Cloud Engineer
8.46,7,1,3,1,Data Science,Data Scientist
9.08,10,6,8,3,Web,Web Developer
6.68,7,6,4,1,Cyber,Cyber Security
5.53,8,3,5,2,Data Science,Data Scientist
7.12,3,10,3,3,Cyber,Cyber Security
9.2,6,5,4,0,Cloud,Cloud Engineer
8.51,8,9,8,1,Cloud,Cloud Engineer
9.61,5,4,6,3,AI,AI Engineer
7.93,2,2,1,4,Data Science,Data Scientist
6.98,8,3,5,4,Web,Web Developer
9.21,1,8,3,2,Cyber,Cyber Security
8.28,4,10,7,5,Web,Web Developer
9.29,9,5,6,3,Data Science,Data Scientist
9.26,3,3,2,2,Data Science,Data Scientist
7.86,2,8,0,0,Web,Web Developer
9.02,1,8,9,1,Cloud,Cloud Engineer
7.22,8,10,9,5,Cyber,Cyber Security
6.52,5,2,0,3,Web,Web Developer
9.69,4,8,7,0,Data Science,Data Scientist
7.7,8,7,4,3,Cloud,Cloud Engineer
5.65,9,9,5,4,Cyber,Cyber Security
9.61,6,4,4,0,AI,AI Engineer
5.59,4,5,10,5,Web,Web Developer
9.19,10,1,2,3,AI,AI Engineer
7.62,4,6,1,1,Web,Web Developer
5.99,3,8,4,4,Cloud,Cloud Engineer
5.6,2,8,7,4,Cloud,Cloud Engineer
8.19,2,5,2,1,Web,Web Developer
7.9,7,5,5,1,Cloud,Cloud Engineer
8.64,4,9,1,3,Data Science,Data Scientist
8.11,7,2,9,0,Cloud,Cloud Engineer
7.48,5,1,10,0,Data Science,Data Scientist
6.84,8,7,2,4,AI,AI Engineer
7.93,4,7,4,3,Web,Web Developer
8.69,8,9,4,3,Web,Web Developer
7.93,5,1,8,1,Web,Web Developer
7.16,8,1,5,5,Cloud,Cloud Engineer
8.4,8,9,9,1,Cloud,Cloud Engineer
8.33,8,5,6,5,Cloud,Cloud Engineer
6.34,2,9,5,2,Cyber,Cyber Security
6.39,6,3,4,5,Cloud,Cloud Engineer
5.76,8,10,5,5,Cyber,Cyber Security
6.91,5,9,3,0,Web,Web Developer
9.08,1,9,3,0,Web,Web Developer
7.08,7,9,4,1,Cloud,Cloud Engineer
7.56,10,1,1,5,Web,Web Developer
6.44,8,10,5,1,Data Science,Data Scientist
9.85,3,7,6,3,AI,AI Engineer
9.97,10,4,2,4,AI,AI Engineer
9.14,4,4,3,0,Data Science,Data Scientist
6.99,6,10,5,4,Cloud,Cloud Engineer
7.05,9,5,7,3,Data Science,Data Scientist
7.33,5,1,6,5,AI,AI Engineer
6.75,10,10,7,1,Cloud,Cloud Engineer
7.05,2,1,1,1,Cyber,Cyber Security
9.14,9,5,5,4,Data Science,Data Scientist
8.21,5,6,4,3,Cloud,Cloud Engineer
6.54,7,9,4,4,Data Science,Data Scientist
9.59,3,5,4,2,AI,AI Engineer
9.69,4,4,0,2,Cloud,Cloud Engineer
8.69,8,5,1,1,AI,AI Engineer
7.21,2,7,0,5,Data Science,Data Scientist
7.1,9,6,5,3,Data Science,Data Scientist
7.01,4,1,6,3,Cyber,Cyber Security
8.26,9,6,10,3,AI,AI Engineer
6.09,4,2,3,4,Data Science,Data Scientist
8.43,4,2,8,3,Cyber,Cyber Security
6.17,6,2,10,4,Cyber,Cyber Security
9.35,7,7,3,2,Cyber,Cyber Security
6.54,10,1,4,4,Web,Web Developer
9.4,7,2,1,0,Data Science,Data Scientist
7.11,5,8,9,2,Cyber,Cyber Security
7.0,7,8,6,3,AI,AI Engineer
6.2,6,4,1,0,Cloud,Cloud Engineer
8.87,1,9,4,1,AI,AI Engineer
9.83,7,3,8,0,Web,Web Developer
9.59,8,3,3,3,AI,AI Engineer
9.59,7,8,0,2,Cyber,Cyber Security
9.13,5,9,6,4,Data Science,Data Scientist
5.57,1,6,0,1,Cloud,Cloud Engineer
7.5,4,4,6,5,Web,Web Developer
5.77,4,2,5,1,Cyber,Cyber Security
7.01,8,10,0,3,Web,Web Developer
8.96,6,2,4,1,Web,Web Developer
9.32,9,9,5,0,Cloud,Cloud Engineer
9.02,4,8,3,0,Web,Web Developer
9.17,2,4,10,4,AI,AI Engineer
6.51,10,10,5,5,Cloud,Cloud Engineer
9.92,1,4,3,0,Web,Web Developer
8.36,6,8,7,2,Web,Web Developer
6.24,2,2,2,4,Web,Web Developer
8.96,4,5,1,0,Data Science,Data Scientist
6.94,10,7,3,3,Cloud,Cloud Engineer
7.37,8,8,4,4,Cloud,Cloud Engineer
8.78,7,4,0,0,AI,AI Engineer
6.07,4,9,1,4,Cyber,Cyber Security
8.85,4,6,3,4,AI,AI Engineer
8.06,9,1,7,5,Web,Web Developer
7.88,7,10,8,3,Data Science,Data Scientist
8.2,5,9,2,4,AI,AI Engineer
7.12,8,9,1,2,Data Science,Data Scientist
7.38,4,1,1,0,Web,Web Developer
7.45,10,4,8,5,Data Science,Data Scientist
9.3,5,3,10,1,Data Science,Data Scientist
9.92,2,8,4,1,Cloud,Cloud Engineer
5.9,8,1,2,5,Data Science,Data Scientist
7.31,5,3,4,5,Web,Web Developer
8.08,7,5,2,2,Web,Web Developer
8.46,9,1,0,3,Cloud,Cloud Engineer
7.81,2,10,0,5,AI,AI Engineer
6.26,3,1,5,1,Web,Web Developer
8.81,2,9,5,4,Cyber,Cyber Security
8.53,7,8,7,0,Data Science,Data Scientist
7.55,2,3,5,3,Cloud,Cloud Engineer
6.38,5,3,4,0,Cloud,Cloud Engineer
7.91,4,8,7,3,Cloud,Cloud Engineer
7.44,9,2,6,0,Web,Web Developer
8.86,9,2,0,1,Web,Web Developer
9.34,10,5,0,0,Cloud,Cloud Engineer
9.6,7,4,8,3,Cloud,Cloud Engineer
9.62,7,6,4,2,Cyber,Cyber Security
7.52,10,8,3,2,Web,Web Developer
9.98,4,7,1,2,Web,Web Developer
7.34,8,1,2,4,Data Science,Data Scientist
8.73,7,6,0,4,Cyber,Cyber Security
9.11,2,1,2,5,Cloud,Cloud Engineer
9.62,8,1,10,2,Data Science,Data Scientist
6.42,7,8,9,5,Web,Web Developer
9.44,6,7,1,3,AI,AI Engineer
6.48,4,2,5,3,AI,AI Engineer
9.43,6,4,8,0,Web,Web Developer
6.87,2,2,10,3,AI,AI Engineer
9.5,9,7,2,1,Data Science,Data Scientist
8.07,4,8,1,0,AI,AI Engineer
8.68,1,3,7,1,Cyber,Cyber Security
8.2,7,5,6,5,AI,AI Engineer
7.25,5,1,2,4,AI,AI Engineer
7.88,9,6,6,2,Cloud,Cloud Engineer
8.35,2,6,4,1,AI,AI Engineer
9.18,10,8,3,0,Cloud,Cloud Engineer
6.45,3,3,2,4,Data Science,Data Scientist
8.71,2,5,9,0,Cloud,Cloud Engineer
8.23,10,6,10,0,Cloud,Cloud Engineer
7.38,5,6,6,0,AI,AI Engineer
5.76,4,3,10,0,AI,AI Engineer
7.28,7,7,9,4,Cyber,Cyber Security
5.51,7,3,2,2,Cyber,Cyber Security
5.55,7,4,9,5,Web,Web Developer
6.4,3,2,0,4,Data Science,Data Scientist
6.56,9,3,3,4,Cyber,Cyber Security
9.29,2,9,0,1,AI,AI Engineer
9.18,4,8,10,5,Cloud,Cloud Engineer
8.35,4,3,2,0,Cyber,Cyber Security
8.56,1,7,6,1,Data Science,Data Scientist
8.63,6,8,8,4,Cloud,Cloud Engineer
8.1,8,4,0,3,Cloud,Cloud Engineer
5.5,7,10,5,0,Data Science,Data Scientist
9.32,3,3,10,1,AI,AI Engineer
6.82,7,9,9,3,AI,AI Engineer
7.75,5,6,2,5,Web,Web Developer
6.81,10,7,6,4,Web,Web Developer
6.5,10,7,3,3,Cyber,Cyber Security
8.18,3,4,10,5,AI,AI Engineer
8.04,6,7,9,4,Data Science,Data Scientist
7.5,1,7,7,5,Web,Web Developer
5.93,5,3,7,4,AI,AI Engineer
9.4,10,10,2,3,Cloud,Cloud Engineer
6.23,3,4,7,1,Cyber,Cyber Security
7.8,2,10,1,0,Cloud,Cloud Engineer
8.9,9,6,10,3,AI,AI Engineer
6.48,9,5,5,5,Data Science,Data Scientist
9.46,8,7,7,3,Data Science,Data Scientist
6.89,8,3,0,3,AI,AI Engineer
7.11,5,3,6,4,Cloud,Cloud Engineer
7.7,3,10,1,2,Cyber,Cyber Security
8.82,5,2,1,3,Data Science,Data Scientist
8.82,9,7,8,1,Data Science,Data Scientist
7.34,5,2,9,0,Data Science,Data Scientist
7.25,4,3,9,3,AI,AI Engineer
6.86,4,3,7,0,Data Science,Data Scientist
9.06,9,3,7,0,Web,Web Developer
9.37,7,9,0,4,Cyber,Cyber Security
6.81,10,2,6,0,Data Science,Data Scientist
7.36,1,3,7,4,AI,AI Engineer
9.82,1,10,4,5,AI,AI Engineer
7.11,8,10,9,0,AI,AI Engineer
6.25,1,10,8,0,AI,AI Engineer
9.51,4,1,5,1,Cloud,Cloud Engineer
6.54,8,2,4,5,Web,Web Developer
5.82,10,3,0,2,Cyber,Cyber Security
5.66,6,8,7,3,Cyber,Cyber Security
7.34,7,2,1,4,Web,Web Developer
8.99,10,4,0,3,Data Science,Data Scientist
8.67,5,5,9,4,AI,AI Engineer
6.33,1,4,9,0,Cyber,Cyber Security
6.08,1,7,5,1,Cloud,Cloud Engineer
8.47,8,1,4,2,Cyber,Cyber Security
9.07,2,9,8,1,Cyber,Cyber Security
9.11,5,4,10,5,Data Science,Data Scientist
7.19,9,2,0,2,Web,Web Developer
8.98,2,4,9,4,Cloud,Cloud Engineer
6.58,2,2,6,2,Web,Web Developer
8.39,8,7,9,0,Cyber,Cyber Security
9.53,8,10,6,3,Data Science,Data Scientist
8.48,7,1,8,3,Web,Web Developer
9.41,10,2,1,5,Web,Web Developer
6.48,10,3,9,0,Cloud,Cloud Engineer
6.63,6,10,9,2,Cloud,Cloud Engineer
7.36,7,8,6,1,Web,Web Developer
7.01,2,3,8,4,Cloud,Cloud Engineer
7.52,6,1,8,1,Cloud,Cloud Engineer
8.2,9,3,4,2,Cyber,Cyber Security
8.05,10,8,7,5,Web,Web Developer
5.84,9,1,8,2,Cyber,Cyber Security
8.71,1,6,2,2,Cloud,Cloud Engineer
9.48,5,5,7,4,AI,AI Engineer
7.39,1,10,4,2,AI,AI Engineer
5.61,8,6,10,2,Data Science,Data Scientist
9.13,2,10,7,0,Cloud,Cloud Engineer
9.92,3,10,3,3,Cloud,Cloud Engineer
8.61,6,2,4,2,Cloud,Cloud Engineer
7.2,2,2,5,4,Web,Web Developer
9.08,1,4,3,2,AI,AI Engineer
6.78,2,4,1,5,AI,AI Engineer
6.52,2,7,3,2,Cyber,Cyber Security
9.46,6,1,1,3,Cyber,Cyber Security
9.35,5,1,9,0,Data Science,Data Scientist
7.38,3,3,7,1,Web,Web Developer
8.34,5,5,4,4,Cyber,Cyber Security
6.29,10,2,5,1,Data Science,Data Scientist
6.25,6,1,3,1,Cyber,Cyber Security
7.23,10,8,10,4,Cyber,Cyber Security
9.68,8,10,2,3,AI,AI Engineer
